@RELATION Bugcatchers-unified-file.arff

    @ATTRIBUTE McCC NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE DataClumps NUMERIC
    @ATTRIBUTE MessageChains NUMERIC
    @ATTRIBUTE MiddleMan NUMERIC
    @ATTRIBUTE SpeculativeGenerality NUMERIC
    @ATTRIBUTE SwitchStatements NUMERIC
    @ATTRIBUTE MessageChains2 NUMERIC
    @ATTRIBUTE blank NUMERIC
    @ATTRIBUTE comment NUMERIC
    @ATTRIBUTE code NUMERIC
    @ATTRIBUTE codeLines NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    1,0,11,0,36,93,0,0,1,0,0,0,13,43,36,36,false
    1,0,11,0,36,93,0,0,1,1,0,0,13,43,36,36,false
    3,0,17,0,101,179,1,0,1,0,0,0,23,54,101,101,false
    18,0,12,0,131,275,0,0,0,0,0,0,20,123,131,131,true
    4,0,7,0,74,221,0,0,0,0,0,0,35,111,74,74,true
    12,0,16,0,130,307,0,1,1,0,0,0,27,149,130,130,false
    1,0,4,0,11,55,0,0,0,5,0,0,6,37,11,11,true
    1,0,9,0,20,73,0,0,0,9,0,0,11,41,20,20,true
    1,0,7,0,24,70,0,0,1,0,0,0,9,36,24,24,false
    1,0,9,0,30,82,0,0,1,0,0,0,11,40,30,30,false
    1,0,7,0,30,83,0,0,1,0,0,0,10,42,30,30,false
    4,0,10,0,69,249,0,0,0,1,0,0,44,135,69,69,true
    10,0,3,0,41,98,0,0,1,0,0,0,6,50,41,41,false
    50,0,20,2,266,746,0,0,0,2,0,0,67,412,266,266,false
    130,0,14,0,773,1731,0,1,1,1,0,0,155,802,773,773,true
    14,0,23,0,75,292,0,0,1,0,0,0,27,189,75,75,false
    8,0,21,0,123,335,1,2,1,0,0,0,63,148,123,123,false
    6,0,21,0,93,304,1,0,1,0,0,0,64,146,93,93,false
    2,0,23,0,92,337,0,0,1,0,0,0,58,186,92,92,true
    101,0,9,0,626,1401,0,4,0,1,0,0,188,586,626,626,true
    12,0,21,0,93,294,0,1,1,0,0,0,60,140,93,93,false
    1,0,21,0,25,107,0,0,0,19,0,0,14,67,25,25,false
    6,0,3,0,37,138,0,1,0,2,0,0,14,86,37,37,false
    25,0,15,0,222,479,0,0,1,1,0,0,52,204,222,222,false
    1,0,3,0,18,83,1,0,0,0,0,0,9,55,18,18,false
    1,0,5,0,40,126,1,0,0,0,0,0,14,71,40,40,false
    1,0,4,0,11,66,0,0,0,1,0,0,6,48,11,11,false
    1,0,3,0,24,81,1,0,0,0,0,0,11,45,24,24,false
    1,0,8,0,46,158,1,0,0,0,0,0,10,101,46,46,false
    1,0,5,0,29,96,0,0,1,0,0,0,12,54,29,29,false
    1,0,3,0,7,58,0,0,0,1,0,0,5,45,7,7,false
    3,0,7,0,52,143,0,0,1,0,0,0,19,71,52,52,false
    2,0,26,0,156,505,1,0,0,0,0,0,62,286,156,156,false
    1,0,8,0,25,139,0,0,0,1,0,0,12,101,25,25,false
    1,0,5,0,41,124,1,0,0,0,0,0,17,65,41,41,false
    1,0,4,0,20,106,0,0,1,0,0,0,11,74,20,20,false
    13,0,10,0,120,393,1,1,0,0,0,0,38,234,120,120,false
    9,0,10,0,104,289,0,1,0,0,0,0,34,150,104,104,false
    1,0,4,0,23,130,0,0,1,0,0,0,8,98,23,23,false
    25,0,55,0,416,1475,1,1,0,0,0,0,119,939,416,416,true
    73,0,72,0,721,2680,0,0,0,0,0,0,213,1745,721,721,true
    6,0,18,0,131,518,0,0,0,0,0,0,39,347,131,131,true
    1,0,2,0,79,126,1,0,0,0,0,0,8,38,79,79,false
    1,0,4,0,10,151,0,0,0,1,0,0,8,132,10,10,false
    3,0,6,0,38,130,0,0,0,0,0,0,7,84,38,38,true
    2,0,8,0,69,238,0,0,0,1,0,0,20,148,69,69,false
    1,0,3,0,8,73,0,0,0,1,0,0,5,59,8,8,false
    1,0,2,0,9,65,0,0,0,1,0,0,6,49,9,9,false
    6,0,6,0,105,199,1,0,0,0,0,0,11,82,105,105,false
    16,0,3,6,120,221,0,0,0,0,0,0,17,83,120,120,true
    1,0,3,0,10,67,0,0,0,1,0,0,3,53,10,10,false
    1,0,2,0,8,51,0,0,0,1,0,0,5,37,8,8,false
    15,0,10,0,116,238,0,2,0,0,0,1,20,101,116,116,true
    18,0,4,0,153,298,0,0,0,0,0,0,33,111,153,153,true
    12,0,6,0,122,268,0,0,0,0,1,0,27,118,122,122,true
    2,0,6,0,41,124,0,0,1,0,0,0,10,72,41,41,false
    1,0,3,0,9,71,0,0,0,1,0,0,4,57,9,9,false
    10,0,9,0,85,207,0,0,0,0,1,0,24,97,85,85,false
    10,0,6,0,78,169,0,0,0,0,1,0,17,73,78,78,false
    1,0,3,0,19,67,0,0,1,0,0,0,5,42,19,19,false
    1,0,4,0,23,86,0,0,1,0,0,0,8,54,23,23,false
    5,0,5,0,42,115,0,0,0,0,1,0,11,61,42,42,false
    12,0,40,0,276,1018,1,0,0,0,0,0,97,644,276,276,false
    51,0,40,1,457,1285,0,0,0,0,0,0,142,685,457,457,true
    1,0,2,0,33,82,1,0,0,0,0,0,9,39,33,33,false
    6,0,6,0,104,208,1,0,0,0,0,0,13,90,104,104,false
    1,0,6,0,52,154,0,0,0,0,0,0,17,84,52,52,true
    3,0,8,0,56,162,1,0,0,0,0,0,12,93,56,56,false
    1,0,1,8,11,32,0,0,0,1,0,0,1,20,11,11,false
    15,0,35,0,261,584,0,0,0,0,0,0,57,265,261,261,true
    1,0,32,0,59,235,0,0,0,1,0,0,41,134,59,59,false
    10,0,14,0,161,355,1,0,0,0,0,0,46,147,161,161,false
    1,0,2,0,26,71,1,0,0,0,0,0,5,39,26,26,false
    3,0,4,0,38,100,0,0,1,0,0,0,13,48,38,38,false
    17,0,28,0,238,760,1,0,0,0,0,0,82,439,238,238,false
    13,0,18,0,116,596,0,1,1,0,0,0,58,421,116,116,false
    1,0,2,0,40,90,1,0,0,0,0,0,10,39,40,40,false
    6,0,6,0,69,166,1,0,0,0,0,0,11,85,69,69,false
    5,0,5,0,52,151,1,0,0,0,0,0,18,80,52,52,false
    1,0,6,0,27,86,0,0,0,2,0,0,5,53,27,27,false
    1,0,6,0,29,92,0,0,0,2,0,0,5,57,29,29,false
    1,0,6,0,26,85,0,0,0,2,0,0,5,53,26,26,false
    118,0,0,0,801,1334,1,0,0,0,0,0,141,391,801,801,true
    5,0,17,0,111,296,0,0,1,0,0,0,26,158,111,111,false
    66,0,0,0,423,602,0,0,0,0,3,0,68,110,423,423,true
    1,0,2,0,9,65,0,0,0,1,0,0,6,49,9,9,false
    10,0,0,0,79,146,0,0,0,0,1,0,17,49,79,79,false
    7,0,6,0,51,132,1,0,0,0,0,0,12,68,51,51,false
    41,0,12,0,324,576,0,0,0,0,2,0,58,193,324,324,true
    6,0,9,1,96,251,1,0,0,0,0,0,34,120,96,96,false
    10,0,4,0,105,250,0,0,0,0,0,0,33,111,105,105,true
    1,0,1,5,29,57,0,0,1,0,0,0,9,18,29,29,false
    1,0,0,0,11,62,0,0,1,0,0,0,5,45,10,10,false
    66,0,5,0,613,986,0,5,1,0,0,2,124,248,613,613,false
    2,0,2,0,52,92,0,1,0,0,0,1,6,33,52,52,false
    4,0,1,0,23,64,0,1,0,0,0,1,5,35,23,23,false
    5,0,12,0,83,245,0,0,0,1,0,0,32,129,83,83,false
    1,0,4,0,114,419,0,2,0,0,0,0,59,245,114,114,false
    1,0,1,0,4,38,0,0,0,1,0,0,4,29,4,4,false
    1,0,2,0,4,48,0,0,0,0,0,0,3,40,4,4,false
    1,0,7,0,10,90,0,0,0,0,0,0,10,69,10,10,false
    1,0,5,0,8,74,0,0,0,0,0,0,8,57,8,8,false
    1,0,1,1,4,36,0,0,0,1,0,0,2,29,4,4,false
    1,0,3,0,9,52,0,0,0,0,0,0,5,37,9,9,false
    1,0,2,0,5,44,0,0,0,0,0,0,5,33,5,5,false
    2,0,6,0,22,88,0,1,0,0,0,0,9,56,22,22,false
    59,0,7,0,311,519,0,0,0,0,0,0,55,131,285,285,true
    1,0,1,0,41,229,0,0,0,1,0,0,44,143,41,41,false
    1,0,3,0,7,49,0,0,0,0,0,0,5,36,7,7,false
    1,0,4,0,7,57,0,0,0,1,0,0,8,41,7,7,false
    1,0,4,0,15,65,0,0,0,0,0,0,6,43,15,15,false
    1,0,3,0,6,52,0,0,0,0,0,0,5,40,6,6,false
    1,0,3,0,7,49,0,0,0,0,0,0,5,36,7,7,false
    1,0,6,0,9,71,0,0,0,0,0,0,10,51,9,9,false
    1,0,3,0,7,50,0,0,0,0,0,0,4,38,7,7,false
    1,0,3,0,6,48,0,0,0,1,0,0,4,37,6,6,false
    1,0,4,0,15,66,0,0,0,0,0,0,6,44,15,15,false
    1,0,6,0,9,77,0,0,0,1,0,0,8,59,9,9,false
    1,0,6,0,29,105,0,0,0,0,0,0,5,42,13,13,true
    19,0,0,0,120,242,0,0,0,0,0,0,23,98,120,120,false
    20,0,10,0,307,476,0,2,0,0,0,2,42,126,307,307,false
    1,0,3,0,8,60,0,0,0,0,0,0,5,46,8,8,false
    1,0,3,0,5,45,0,0,0,1,0,0,3,36,5,5,false
    25,0,17,0,194,428,0,0,0,0,0,0,34,192,187,187,true
    13,0,25,0,130,313,0,0,0,7,0,0,38,139,121,121,true
    1,0,2,0,4,53,0,0,0,0,0,0,10,38,4,4,false
    19,0,65,2,348,1093,1,4,0,18,0,0,118,625,342,342,true
    3,0,9,0,41,136,0,0,0,0,0,0,13,81,41,41,false
    5,0,8,0,53,155,0,0,0,0,0,0,15,86,53,53,false
    30,0,56,0,409,958,0,0,1,8,0,0,125,431,409,409,true
    3,0,10,0,30,123,0,0,0,0,0,0,19,73,30,30,false
    3,0,10,0,44,144,0,0,0,0,0,0,18,81,44,44,false
    1,0,3,0,5,46,0,0,0,0,0,0,4,37,5,5,false
    38,0,57,2,400,816,0,0,1,0,0,0,61,249,270,270,true
    1,0,2,0,4,51,0,0,0,1,0,0,4,42,4,4,false
    1,0,13,0,17,147,0,0,0,0,0,0,21,108,17,17,false
    28,0,9,0,141,308,1,0,0,0,0,0,39,127,141,141,false
    5,0,2,0,65,165,0,0,1,2,0,0,17,82,65,65,false
    20,0,33,0,209,556,0,1,0,1,0,0,71,277,209,209,false
    40,0,35,1,406,828,0,2,0,1,0,0,79,309,380,380,false
    1,0,5,0,19,73,0,0,0,0,0,0,10,43,19,19,false
    1,0,5,0,7,57,0,0,0,0,0,0,9,40,7,7,false
    3,0,4,0,15,66,0,0,1,0,0,0,7,43,15,15,false
    1,0,2,0,8,43,0,0,0,0,0,0,3,31,8,8,false
    3,0,19,0,68,232,0,0,0,1,0,0,25,122,42,42,true
    8,0,5,0,50,158,0,1,0,0,0,0,20,87,50,50,false
    3,0,12,0,58,155,0,1,1,0,0,0,20,76,58,58,false
    1,0,4,0,18,77,0,0,1,0,0,0,11,47,18,18,false
    1,0,1,4,23,64,0,0,1,0,0,0,10,30,23,23,false
    25,0,14,2,257,466,1,5,1,10,0,1,61,147,257,257,false
    3,0,6,0,48,155,0,0,0,0,0,0,19,87,48,48,false
    9,0,21,0,86,272,0,0,0,2,0,0,33,152,86,86,false
    1,0,2,0,4,45,0,0,0,1,0,0,6,34,4,4,false
    1,0,3,0,18,62,0,0,0,0,0,0,10,33,18,18,false
    31,0,10,0,366,503,1,4,0,4,0,0,58,78,366,366,false
    3,0,0,0,65,119,0,7,1,0,0,0,15,38,65,65,false
    27,0,0,0,124,215,0,0,1,2,0,0,19,71,124,124,false
    1,0,5,0,18,73,0,0,0,1,0,0,10,44,18,18,false
    1,0,3,0,25,76,0,0,0,0,0,0,12,38,25,25,false
    1,0,3,0,22,71,0,1,0,0,0,1,9,39,22,22,false
    1,0,3,0,22,64,0,0,0,0,0,0,8,33,22,22,false
    1,0,3,0,17,64,0,0,1,0,0,0,10,36,17,17,false
    1,0,3,0,17,60,0,0,1,0,0,0,9,33,17,17,false
    1,0,3,0,14,54,0,0,0,0,0,0,7,32,14,14,false
    2,0,3,0,18,60,0,0,0,0,0,0,8,33,18,18,false
    8,0,3,0,124,188,0,3,0,0,0,1,24,39,124,124,false
    9,0,3,0,150,233,0,1,0,0,0,1,39,43,150,150,false
    6,0,4,0,160,247,0,0,1,6,0,0,39,47,160,160,false
    19,0,10,0,103,195,0,2,0,4,0,2,24,67,85,85,false
    17,0,10,0,94,175,0,2,0,4,0,2,19,61,74,74,false
    10,0,11,0,93,195,0,1,0,4,0,1,22,69,71,71,false
    8,0,10,0,68,154,0,1,0,4,0,1,19,66,60,60,false
    18,0,8,0,85,153,0,0,0,4,0,0,13,52,69,69,true
    18,0,8,0,93,164,0,0,0,4,0,0,16,54,67,67,false
    3,0,3,0,96,204,0,1,0,0,0,1,37,71,96,96,false
    1,0,1,4,23,61,0,0,1,0,0,0,9,28,23,23,false
    2,0,6,0,39,98,0,0,0,0,0,0,13,45,39,39,false
    2,0,7,0,47,114,1,0,0,0,0,0,17,49,47,47,false
    10,0,14,2,138,269,0,1,0,4,0,1,36,94,138,138,false
    17,0,6,0,103,214,0,3,0,1,0,3,23,87,103,103,false
    17,0,6,0,90,155,0,0,0,1,0,0,17,47,90,90,false
    17,0,6,0,130,197,0,3,0,1,0,3,17,48,102,102,false
    17,0,6,0,119,182,0,3,0,1,0,3,17,45,94,94,false
    17,0,6,0,111,175,0,0,0,1,0,0,17,46,101,101,false
    17,0,6,0,102,166,0,0,0,1,0,0,17,46,102,102,false
    3,0,4,0,29,83,0,0,0,0,0,0,11,42,29,29,false
    29,0,25,0,323,580,0,5,1,9,0,1,67,189,323,323,false
    12,0,9,0,63,166,0,0,0,0,0,0,21,81,63,63,false
    23,0,2,0,108,168,0,1,1,0,1,0,21,38,108,108,false
    9,0,3,0,101,168,0,0,0,0,1,0,20,46,101,101,false
    20,0,17,0,178,339,0,1,0,2,1,1,40,120,178,178,false
    6,0,4,0,103,178,0,1,0,1,0,0,26,48,103,103,false
    1,0,2,0,53,115,0,1,0,1,0,0,16,45,53,53,false
    1,0,2,0,51,110,0,1,0,1,0,0,17,41,51,51,false
    3,0,4,0,92,165,0,1,0,1,0,0,23,49,92,92,false
    1,0,3,0,73,150,0,1,1,1,0,0,19,57,73,73,false
    1,0,31,0,113,436,0,0,1,0,0,0,42,280,113,113,false
    1,0,3,0,33,99,0,0,0,0,0,0,10,55,33,33,false
    27,0,33,0,209,568,0,0,0,1,0,0,51,307,209,209,false
    1,0,3,0,6,55,0,0,0,1,0,0,5,43,6,6,false
    2,0,10,0,37,142,0,0,0,0,0,0,14,90,37,37,false
    24,0,0,0,146,316,0,1,0,1,0,0,20,112,112,112,true
    1,0,2,0,4,43,0,0,0,1,0,0,4,34,4,4,false
    1,0,6,1,39,96,0,0,1,0,0,0,13,43,39,39,false
    1,0,6,2,41,100,0,0,1,0,0,0,15,43,41,41,false
    1,0,6,2,42,100,0,0,1,0,0,0,14,43,42,42,false
    1,0,6,2,41,100,0,0,1,0,0,0,15,43,41,41,false
    1,0,6,1,39,95,0,0,1,0,0,0,12,43,39,39,false
    1,0,6,1,39,95,0,0,1,0,0,0,12,43,39,39,false
    1,0,6,2,41,100,0,0,1,0,0,0,15,43,41,41,false
    1,0,1,2,15,54,0,0,1,1,0,0,7,31,15,15,false
    1,0,1,2,16,51,0,0,1,1,0,0,6,28,16,16,false
    1,0,1,2,15,53,0,0,1,1,0,0,6,31,15,15,false
    1,0,2,1,22,64,0,0,1,1,0,0,8,33,22,22,false
    1,0,1,2,15,53,0,0,1,1,0,0,6,31,15,15,false
    1,0,1,2,15,53,0,0,1,1,0,0,6,31,15,15,false
    1,0,1,2,21,57,0,0,1,1,0,0,7,28,21,21,false
    8,0,6,17,169,334,1,0,1,1,0,0,49,115,169,169,false
    19,0,13,0,177,390,0,2,0,0,0,0,41,171,177,177,false
    1,0,1,4,11,45,0,0,0,0,0,0,6,27,11,11,false
    12,0,6,1,68,165,0,2,0,0,0,2,21,76,68,68,false
    1,0,5,0,7,56,0,0,0,0,0,0,6,43,7,7,false
    24,0,0,0,254,372,0,0,1,0,0,0,59,58,254,254,false
    1,0,3,0,12,55,0,0,1,0,0,0,6,36,12,12,false
    1,0,2,0,5,41,0,0,0,0,0,0,5,30,5,5,false
    41,0,0,0,263,398,0,0,0,16,0,0,44,90,263,263,false
    1,0,1,4,12,46,0,0,0,1,0,0,6,27,12,12,false
    34,0,19,0,219,420,0,9,0,0,0,9,58,142,219,219,false
    1,0,78,0,105,718,0,0,0,1,0,0,88,516,105,105,true
    1,0,3,1,17,71,0,0,0,0,0,0,8,45,17,17,false
    91,0,8,73,757,1165,1,14,1,2,1,11,222,185,753,753,true
    15,0,13,0,175,396,0,0,1,0,0,0,37,169,175,175,false
    1,0,6,0,8,74,0,0,0,1,0,0,7,58,8,8,false
    36,0,72,0,605,1198,0,2,1,0,0,2,135,359,572,572,true
    1,0,9,0,14,101,0,0,0,1,0,0,11,76,14,14,false
    5,0,5,0,47,98,0,1,0,2,0,1,9,41,47,47,false
    4,0,3,0,25,71,0,1,0,1,0,1,9,36,25,25,false
    1,0,2,0,71,161,0,0,0,0,0,0,29,60,71,71,false
    1,0,2,3,28,71,0,2,1,0,0,2,10,32,28,28,false
    2,0,0,0,43,117,0,0,1,0,0,0,13,60,43,43,false
    18,0,0,0,108,219,0,5,1,0,0,5,16,94,108,108,false
    3,0,0,0,47,122,0,0,1,0,0,0,13,61,47,47,false
    7,0,0,0,57,132,0,0,1,0,0,0,14,60,57,57,false
    15,0,0,0,115,206,0,10,0,0,0,10,20,70,115,115,false
    1,0,0,0,9,65,0,0,0,0,0,0,8,47,9,9,false
    11,0,0,0,76,145,0,0,0,0,0,0,13,55,76,76,false
    10,0,0,0,64,136,0,0,0,0,0,0,13,58,64,64,false
    297,0,15,0,1363,2078,0,140,1,5,0,139,194,543,1340,1340,true
    3,0,0,0,46,120,0,0,1,0,0,0,15,58,46,46,false
    672,0,0,59,1822,1973,1,0,0,0,0,0,149,84,1739,1739,false
    988,0,4,66,3422,3821,1,0,0,0,0,0,266,132,3422,3422,false
    1,0,0,1,150,155,0,0,0,0,0,0,3,1,150,150,false
    6,0,0,0,37,102,0,0,0,0,0,0,5,59,37,37,false
    6,0,0,0,60,141,0,1,1,0,0,1,13,67,60,60,false
    2,0,0,0,40,112,0,2,1,0,0,2,13,58,40,40,false
    5,0,9,0,74,199,0,4,0,0,0,4,21,103,74,74,false
    1,0,0,0,39,112,0,0,0,0,0,0,14,58,39,39,false
    3,0,6,0,53,114,0,1,0,3,0,1,14,46,53,53,false
    1,0,2,11,48,112,0,0,1,1,0,0,19,44,48,48,false
    1,0,2,33,115,200,0,0,1,1,0,0,42,42,115,115,false
    1,0,2,35,123,209,0,0,1,1,0,0,43,42,123,123,false
    1,0,2,148,473,675,0,0,1,1,0,0,155,46,473,473,false
    1,0,2,12,51,113,0,0,1,1,0,0,19,42,51,51,false
    1,0,4,21,91,171,0,0,1,1,0,0,31,48,91,91,false
    1,0,11,0,50,144,0,0,0,1,0,0,16,77,50,50,false
    1,0,1,0,3,33,0,0,0,1,0,0,3,27,3,3,false
    1,0,2,38,131,220,0,0,1,1,0,0,46,42,131,131,false
    1,0,3,3,20,69,0,0,1,1,0,0,11,37,20,20,false
    1,0,2,23,86,160,0,1,1,1,0,1,31,42,86,86,false
    1,0,1,0,3,35,0,0,0,1,0,0,3,28,3,3,false
    1,0,11,0,14,113,0,0,0,1,0,0,12,86,14,14,false
    1,0,13,0,16,161,0,0,0,1,0,0,15,129,16,16,false
    1,0,2,0,11,61,0,0,0,0,0,0,4,45,11,11,false
    1,0,4,0,6,46,0,0,0,1,0,0,4,35,6,6,false
    1,0,3,0,16,73,0,0,0,0,0,0,6,50,16,16,false
    1,0,2,0,9,57,0,0,0,0,0,0,4,43,9,9,false
    1,0,4,0,7,50,0,0,0,1,0,0,4,38,7,7,false
