@RELATION GitHub-unified-file.arff

    @ATTRIBUTE McCC NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE NumberOfCommitters NUMERIC
    @ATTRIBUTE NumberOfDeveloperCommits NUMERIC
    @ATTRIBUTE NumberOfPreviousModifications NUMERIC
    @ATTRIBUTE NumberOfPreviousFixes NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    1,0,4,3,36,104,0,4,2,1300,false
    3,0,6,3,46,117,0,4,2,1300,false
    1,0,1,1,8,42,0,9,2,1300,false
    3,0,0,5,23,59,0,19,2,1843,false
    1,0,1,3,12,51,0,9,2,1300,false
    198,0,3,9,904,1734,1,290,2,1843,true
    1,0,1,1,8,46,0,7,2,1300,false
    1,0,1,1,7,43,0,8,2,1300,false
    1,0,1,6,28,72,0,3,2,1843,false
    1,0,1,6,31,77,0,23,2,1843,false
    105,0,9,11,466,746,0,78,2,1300,false
    3,0,2,2,22,67,0,16,2,1300,false
    30,0,13,2,162,615,0,22,2,1300,false
    2,0,0,6,28,66,0,17,2,1843,false
    1,0,0,2,9,42,0,8,2,1843,false
    1,0,1,1,7,46,0,6,2,1300,false
    1,0,2,4,35,82,0,23,2,1843,false
    50,0,8,25,274,438,0,39,2,1300,false
    2,0,2,4,30,70,0,20,2,1300,false
    12,0,0,7,57,99,0,28,2,1300,false
    1,0,1,1,7,41,0,6,2,1300,false
    1,0,0,2,11,56,0,10,2,1300,false
    1,0,0,3,10,43,0,8,2,1300,false
    1,0,1,1,7,41,0,9,2,1300,false
    2,0,2,3,61,120,0,35,2,1300,false
    2,0,0,5,18,54,0,15,2,1843,false
    11,0,5,6,98,216,0,38,2,1300,false
    14,0,1,2,59,100,0,25,2,1300,false
    8,0,4,7,85,205,0,58,2,1300,false
    1,0,0,2,12,46,0,5,2,1843,false
    1,0,1,0,3,41,0,2,2,1843,false
    71,0,2,23,379,527,0,34,2,1300,false
    5,0,4,3,40,86,0,6,2,1843,false
    1,0,3,0,5,60,0,2,2,1843,false
    33,0,1,23,221,295,0,12,2,1300,false
    8,0,1,1,75,139,0,11,2,1300,false
    1,0,6,9,20,81,0,8,2,1843,true
    35,0,4,21,183,297,0,13,2,1300,false
    1,0,1,6,20,62,0,5,2,1843,false
    17,0,13,5,84,164,0,23,2,1300,false
    96,0,16,20,463,649,0,35,2,1300,true
    3,0,1,2,23,66,0,2,1,1300,false
    4,0,0,7,81,123,0,7,2,1843,false
    4,0,0,3,23,57,0,5,1,1843,false
    3,0,7,0,48,138,0,4,2,1300,false
    3,0,3,0,18,75,0,4,2,1300,false
    4,0,4,10,73,138,0,16,2,1843,false
    1,0,0,2,9,42,0,5,2,1300,false
    1,0,1,4,18,65,0,5,2,1843,false
    39,0,1,3,205,271,0,51,2,1300,false
    1,0,0,2,11,45,0,5,2,1300,false
    21,0,2,8,109,159,1,24,2,1300,false
    3,0,4,1,39,168,1,8,1,1300,false
    1,0,0,1,3,35,0,6,2,1843,false
    1,0,1,2,11,51,0,6,2,1843,false
    1,0,5,1,13,65,0,44,2,1300,false
    1,0,0,5,9,42,0,20,2,1300,false
    1,0,1,3,9,59,0,7,2,1300,false
    1,0,5,0,8,79,0,31,2,1300,false
    4,0,0,2,33,75,0,22,2,1300,false
    1,0,0,2,5,38,0,5,2,1843,false
    1,0,2,0,8,53,0,18,2,1300,false
    1,0,0,2,5,38,0,6,2,1843,false
    3,0,0,13,45,92,0,16,2,1843,false
    1,0,6,0,12,70,0,12,2,1843,false
    25,0,6,11,155,228,0,48,2,1843,false
    4,0,1,3,20,96,0,7,2,1300,false
    7,0,3,16,142,213,1,16,2,1300,false
    2,0,1,2,26,66,0,2,1,1300,false
    3,0,1,8,93,150,0,7,2,1843,false
    6,0,0,9,114,172,0,24,2,1300,false
    1,0,0,2,5,38,0,3,2,1843,false
    30,0,1,36,553,739,0,58,4,1843,false
    1,0,0,0,3,46,0,11,2,1300,false
    8,0,10,0,70,225,0,15,2,1300,false
    3,0,9,0,58,180,0,9,2,1843,false
    60,0,12,3,312,534,0,38,2,1843,false
    4,0,16,0,77,233,0,9,2,1300,false
    4,0,0,0,32,130,0,5,2,1843,false
    2,0,0,0,20,81,0,7,2,1300,false
    2,0,7,0,38,127,0,8,2,1300,false
    23,0,3,2,144,222,0,24,2,1843,false
    2,0,2,2,16,30,0,10,2,1843,false
    1,0,0,2,12,15,0,3,1,1843,false
    1,0,1,2,15,23,0,5,2,1843,false
    7,0,0,3,30,36,0,9,1,1843,false
    1,0,0,3,15,20,0,3,1,1843,false
    7,0,0,3,30,36,0,9,1,1843,false
    2,0,0,3,15,20,0,4,1,1843,false
    3,0,0,3,21,26,0,9,2,1843,false
    1,0,1,0,11,73,0,3,2,1843,false
    50,0,1,2,217,319,0,12,2,1300,false
    1,0,1,0,11,73,0,3,2,1843,false
    109,0,8,30,637,860,3,167,2,1300,true
    12,0,1,3,73,119,0,50,2,1300,false
    14,0,1,3,82,155,0,20,2,1843,false
    1,0,0,3,25,60,0,8,2,1843,false
    47,0,6,14,279,379,0,30,2,1843,false
    17,0,3,3,162,261,1,37,2,1843,false
    1,0,11,19,74,246,0,22,2,1300,false
    22,0,1,1,110,172,0,11,2,1843,false
    24,0,1,2,98,140,0,19,2,1300,false
    3,0,1,3,22,63,0,7,2,1843,false
    58,0,2,12,372,481,2,47,2,1843,false
    65,0,18,19,565,800,0,86,2,1300,false
    12,0,1,2,40,83,0,8,2,1300,false
    30,0,1,12,262,319,0,52,2,1300,false
    1,0,3,22,67,131,0,22,2,1843,false
    10,0,0,3,61,102,0,44,2,1300,false
    17,0,7,19,202,302,0,81,2,1300,false
    1,0,3,18,37,97,0,23,1,1843,false
    4,0,3,12,69,130,0,31,2,1300,false
    28,0,2,4,114,211,1,11,2,1300,false
    1,0,1,1,4,37,0,19,1,1843,false
    42,0,4,42,362,491,1,72,2,1300,false
    1,0,2,34,58,131,0,47,2,1843,false
    18,0,1,2,97,167,0,25,2,1300,false
    40,0,2,24,292,370,0,70,2,1300,false
    25,0,9,14,226,365,1,72,2,1300,false
    1,0,0,2,8,41,0,4,1,1843,false
    3,0,1,3,44,84,0,21,2,1300,false
    1,0,1,1,12,47,0,7,1,1843,false
    1,0,1,1,14,52,0,9,1,1843,false
    1,0,0,2,10,44,0,6,2,1843,false
    1,0,0,2,7,39,0,8,2,1843,false
    1,0,0,2,7,39,0,8,2,1843,false
    1,0,0,2,9,42,0,4,1,1843,false
    1,0,1,1,9,43,0,4,1,1843,false
    3,0,1,5,48,98,0,25,2,1300,false
    1,0,1,1,8,43,0,7,2,1843,false
    2,0,1,1,12,55,0,10,2,1300,false
    1,0,0,2,7,39,0,8,2,1843,false
    1,0,0,2,15,49,0,4,2,1843,false
    6,0,1,2,61,106,0,32,2,1843,false
    1,0,1,1,16,54,0,12,1,1843,false
    1,0,0,2,13,49,0,8,1,1843,false
    3,0,1,3,30,72,0,14,2,1843,false
    1,0,1,1,9,48,0,7,1,1843,false
    1,0,1,1,25,66,0,14,2,1300,false
    1,0,1,1,34,81,0,25,2,1300,false
    1,0,1,1,19,56,0,15,2,1300,false
    1,0,1,1,27,71,0,18,2,1300,false
    1,0,1,1,19,55,0,15,2,1300,false
    1,0,1,1,6,41,0,7,2,1843,false
    5,0,0,2,33,69,0,15,2,1300,false
    7,0,0,2,67,107,0,27,2,1300,false
    2,0,0,2,21,56,0,13,2,1843,false
    1,0,0,2,9,42,0,9,2,1843,false
    5,0,1,1,37,76,0,25,2,1843,true
    4,0,0,3,24,61,0,13,2,1843,false
    1,0,0,2,9,42,0,6,2,1843,false
    1,0,0,2,18,52,0,4,1,1843,false
    1,0,1,3,26,64,0,20,2,1300,false
    1,0,1,0,6,42,0,3,1,1843,false
    1,0,1,1,12,47,0,7,1,1843,false
    1,0,0,2,20,54,0,6,2,1300,false
    1,0,1,3,13,50,0,11,2,1843,false
    7,0,1,1,68,105,0,39,2,1300,false
    2,0,1,1,21,57,0,16,2,1843,false
    1,0,0,2,22,58,0,15,2,1843,false
    1,0,0,2,17,54,0,3,1,1843,false
    3,0,0,2,10,46,0,8,2,1843,false
    43,0,5,4,314,444,0,59,2,1300,true
    1,0,0,2,8,41,0,2,1,1843,false
    5,0,1,1,36,76,0,24,2,1300,false
    4,0,0,3,28,66,1,23,2,1843,false
    7,0,3,2,34,83,0,12,2,1843,false
    1,0,0,2,18,53,0,19,2,1300,false
    1,0,2,0,16,53,0,8,1,1843,false
    9,0,1,2,39,81,0,13,2,1300,false
    1,0,1,1,9,43,0,7,1,1843,false
    1,0,1,1,11,45,0,7,1,1843,false
    1,0,1,1,16,54,0,8,1,1843,false
    1,0,0,2,7,39,0,12,2,1843,false
    5,0,0,2,37,73,0,11,2,1843,true
    1,0,1,1,9,45,0,5,2,1843,false
    1,0,0,2,10,44,0,8,2,1843,false
    1,0,1,1,9,44,0,5,2,1843,false
    1,0,1,1,7,41,0,5,2,1843,false
    1,0,0,2,4,36,0,5,2,1843,false
    1,0,0,2,4,36,0,5,2,1843,false
    1,0,0,2,9,43,0,5,2,1843,false
    1,0,0,2,5,38,0,5,2,1843,false
    1,0,0,2,9,43,0,5,2,1843,false
    1,0,0,2,13,48,0,5,2,1843,false
    1,0,1,1,9,43,0,5,2,1843,false
    1,0,1,1,9,45,0,5,2,1843,false
    1,0,1,1,9,44,0,5,2,1843,false
    1,0,0,2,7,40,0,5,2,1843,false
    1,0,1,1,7,41,0,5,2,1843,false
    1,0,1,1,7,41,0,5,2,1843,false
    1,0,1,1,7,41,0,5,2,1843,false
    1,0,1,1,13,49,0,5,2,1843,false
    1,0,0,2,15,50,0,5,2,1843,false
    1,0,0,2,7,40,0,5,2,1843,false
    1,0,1,1,7,41,0,5,2,1843,false
    1,0,1,1,7,41,0,5,2,1843,false
    1,0,1,1,7,41,0,5,2,1843,false
    1,0,1,1,9,44,0,5,2,1843,false
    1,0,1,1,7,41,0,5,2,1843,false
    1,0,1,1,7,41,0,5,2,1843,false
    1,0,1,1,7,41,0,5,2,1843,false
    1,0,1,1,7,41,0,5,2,1843,false
    1,0,1,1,7,41,0,5,2,1843,false
    1,0,1,1,7,41,0,5,2,1843,false
    1,0,1,1,7,41,0,5,2,1843,false
    1,0,1,1,9,44,0,5,2,1843,false
    1,0,1,0,3,36,0,3,1,1843,false
    5,0,1,4,40,79,0,27,2,1300,false
    1,0,1,1,7,41,0,5,1,1843,false
    6,0,1,7,43,86,0,5,1,1843,false
    4,0,2,3,25,69,0,13,2,1300,false
    1,0,1,1,9,43,0,9,2,1843,false
    1,0,1,1,9,45,0,9,2,1843,false
    1,0,0,3,11,45,0,8,2,1843,false
    1,0,1,1,7,41,0,9,2,1843,false
    1,0,1,1,7,43,0,9,2,1843,false
    1,0,0,3,11,45,0,8,2,1843,false
    4,0,2,3,28,68,0,14,2,1843,false
    1,0,0,2,7,40,0,4,1,1843,false
    1,0,1,1,10,45,0,6,1,1843,false
    1,0,0,2,8,41,0,6,1,1843,false
    8,0,1,8,65,113,0,39,2,1300,false
    1,0,1,1,8,43,0,7,1,1843,false
    1,0,1,1,7,41,0,6,1,1843,false
    1,0,1,1,7,41,0,5,1,1843,false
    23,0,4,2,90,154,0,10,1,1843,false
    3,0,1,2,19,53,0,9,2,1843,false
    11,0,2,6,58,117,0,11,2,1300,false
    2,0,0,10,20,57,0,14,2,1300,false
    2,0,1,6,30,73,0,6,2,1843,false
    18,0,5,13,94,173,0,40,2,1843,false
    1,0,1,6,10,46,0,16,2,1300,false
    4,0,0,7,43,84,0,22,2,1843,false
    1,0,1,0,3,38,0,5,1,1843,false
    59,0,4,2,204,300,0,20,2,1300,false
    10,0,3,1,98,152,0,24,2,1300,true
    1,0,0,4,22,58,0,4,2,1300,false
    4,0,1,4,43,85,0,16,2,1300,false
    1,0,0,2,9,43,0,3,1,1843,false
    1,0,2,1,11,48,0,10,2,1843,false
    3,0,1,8,65,114,0,15,2,1300,false
    35,0,4,12,195,260,0,51,2,1300,false
    74,0,2,16,414,562,0,95,2,1843,true
    1,0,0,12,33,76,0,14,2,1300,false
    8,0,0,6,84,131,0,16,2,1300,true
    32,0,1,2,144,261,0,67,2,1843,false
    43,0,3,7,207,301,1,53,2,1843,true
    5,0,1,19,130,199,0,26,2,1300,true
    7,0,3,3,75,120,0,22,2,1300,false
    6,0,0,9,75,123,0,8,2,1300,false
    1,0,1,3,6,45,0,5,1,1843,false
    25,0,4,6,92,169,0,33,2,1300,true
    2,0,1,4,23,73,0,15,2,1300,false
    4,0,2,8,52,111,0,21,2,1300,false
    1,0,1,6,10,72,0,15,1,1843,false
    21,0,4,6,144,275,0,13,3,1300,true
    64,0,3,3,278,479,0,52,2,1843,false
    4,0,1,4,32,70,0,9,2,1300,false
    24,0,4,18,230,332,0,59,2,1300,false
    1,0,2,0,13,69,0,9,1,1843,false
    1,0,1,0,113,953,3,125,2,1300,true
    96,0,25,39,625,911,0,166,2,1843,true
    2,0,2,0,19,76,0,7,1,1843,false
    2,0,1,2,26,65,0,6,2,1843,false
    42,0,5,4,269,403,1,62,2,1300,false
    8,0,0,3,36,75,0,12,2,1843,false
    1,0,1,0,13,46,0,6,1,1843,false
    1,0,0,2,10,44,0,8,2,1300,false
    18,0,1,5,72,114,0,18,2,1843,false
    2,0,1,5,28,71,0,15,1,1843,false
    48,0,5,21,246,356,0,82,2,1300,true
    1,0,1,3,12,52,0,5,1,1843,false
    1,0,0,7,20,59,0,5,2,1300,false
    1,0,1,7,23,67,0,19,2,1300,false
    1,0,0,8,21,62,0,9,2,1300,false
    30,0,5,19,174,255,0,22,2,1300,true
    1,0,1,5,20,57,0,3,2,1843,false
    1,0,2,13,17,69,0,11,2,1300,false
    9,0,1,11,52,98,0,12,2,1300,false
    8,0,0,9,66,113,0,16,2,1300,false
    1,0,0,5,14,51,0,7,2,1300,false
    1,0,0,6,21,60,0,9,2,1300,false
    1,0,0,6,21,59,0,9,2,1300,false
    1,0,0,7,14,50,0,6,2,1300,false
    1,0,1,1,4,42,0,3,1,1300,false
    1,0,0,5,14,51,0,7,2,1300,false
    5,0,0,9,36,75,0,12,2,1300,false
    1,0,1,0,3,36,0,5,2,1300,false
    1,0,1,6,20,61,0,8,2,1300,false
    1,0,0,5,14,51,0,7,2,1300,false
    1,0,0,6,21,59,0,9,2,1300,false
    1,0,0,7,14,51,0,5,2,1300,false
    87,0,4,47,981,1276,0,151,2,1300,true
    4,0,0,10,62,109,0,11,2,1300,false
    44,0,1,10,191,268,1,6,2,1300,false
    5,0,0,12,87,132,0,3,2,1843,false
    2,0,1,42,284,407,0,22,2,1300,false
    3,0,1,25,413,908,0,24,2,1300,true
    1,0,0,19,136,190,0,17,2,1843,false
    7,0,1,19,333,410,0,33,2,1843,false
    1,0,3,24,243,326,0,24,2,1300,false
    8,0,2,12,422,532,0,47,2,1843,false
    1,0,0,23,681,738,0,39,2,1843,false
    3,0,0,3,46,83,0,13,2,1300,false
    1,0,2,91,334,425,1,35,2,1300,true
    2,0,1,11,214,274,0,34,2,1300,true
    1,0,1,3,73,118,0,36,2,1300,false
    3,0,0,6,122,181,0,12,2,1843,false
    1,0,0,5,231,309,0,23,2,1300,false
    1,0,3,23,587,714,1,43,2,1300,true
    6,0,1,6,94,135,0,3,2,1843,false
    1,0,2,7,270,351,0,41,2,1300,true
    16,0,1,43,803,907,0,26,2,1300,false
    1,0,5,36,341,439,0,10,2,1300,false
    2,0,3,14,440,518,2,51,2,1843,true
    1,0,3,11,210,238,0,2,1,1843,true
    1,0,2,9,154,214,0,19,2,1300,true
    4,0,3,32,565,666,1,52,2,1843,true
    1,0,0,6,187,227,0,25,2,1300,true
    1,0,6,19,287,377,0,42,2,1843,true
    8,0,0,25,401,465,0,30,2,1843,false
    1,0,1,8,112,155,0,13,2,1300,true
    1,0,10,9,273,412,1,55,2,1300,true
    1,0,0,10,155,207,0,10,2,1843,false
    236,0,1,6,1497,2021,0,112,2,1300,false
    2,0,0,2,30,67,0,12,2,1300,false
    1,0,0,8,143,184,0,26,2,1300,true
    1,0,10,14,453,598,1,49,2,1300,true
    1,0,2,23,221,284,1,21,2,1300,true
    1,0,1,7,113,172,0,40,2,1300,false
    6,0,1,41,777,885,0,19,2,1843,false
    8,0,1,9,140,205,0,20,2,1300,false
    1,0,8,16,288,413,3,35,2,1300,true
    1,0,1,5,74,118,0,8,2,1300,false
    3,0,5,18,262,368,0,18,2,1843,false
    3,0,0,5,160,224,0,14,2,1843,false
    5,0,0,9,214,244,0,8,2,1300,true
    1,0,3,0,5,51,0,2,5,219,false
    18,0,2,2,137,203,0,5,8,219,false
    6,0,1,2,66,98,1,7,31,219,false
    6,0,1,2,52,82,0,7,24,219,false
    4,0,1,2,49,80,0,7,26,219,true
    4,0,1,2,39,73,0,7,20,219,false
    14,0,1,4,101,154,2,7,31,219,true
    48,0,7,8,401,611,4,8,102,592,true
    17,0,1,5,145,201,4,4,12,1464,true
    9,0,0,2,47,76,0,3,3,219,false
    6,0,1,2,45,83,0,3,10,219,false
    15,0,1,2,97,143,1,4,12,219,false
    2,0,1,1,25,52,1,4,5,219,false
    3,0,2,0,24,55,0,3,3,2597,true
    3,0,2,0,42,80,0,4,8,219,false
    2,0,1,1,49,86,1,4,7,1283,false
    3,0,1,3,62,104,1,5,15,219,false
    7,0,1,0,41,76,0,3,6,219,false
    17,0,1,4,200,279,2,6,39,56,false
    1,0,1,3,48,78,0,5,6,219,false
    1,0,1,3,76,106,0,5,9,219,false
    1,0,1,3,153,182,0,5,9,219,false
    1,0,1,3,34,63,0,5,10,219,false
    1,0,1,3,69,98,0,5,9,219,false
    1,0,2,2,209,239,0,5,11,219,false
    1,0,1,3,118,147,0,4,9,219,false
    1,0,1,3,41,72,0,4,9,219,false
    1,0,1,3,111,141,0,5,11,219,false
    1,0,1,3,62,96,0,4,9,219,false
    1,0,1,0,18,47,0,4,5,219,false
    1,0,1,0,18,47,0,5,8,592,false
    1,0,1,0,25,54,0,4,5,219,false
    1,0,6,0,126,324,0,3,6,219,false
    1,0,2,4,209,268,0,3,7,219,false
    17,0,2,0,120,168,1,4,7,1283,false
    17,0,1,6,138,183,1,5,20,219,false
    23,0,1,9,196,244,5,8,52,219,true
    18,0,1,2,108,144,1,7,23,219,false
    1,0,1,1,16,44,0,6,12,219,false
    22,0,1,6,168,218,1,7,29,219,false
    17,0,1,6,138,183,1,7,29,219,false
    23,0,3,7,194,249,5,8,48,219,true
    2,0,1,6,56,91,1,7,21,219,false
    5,0,1,3,90,133,1,5,13,219,false
    6,0,1,3,101,164,3,4,16,219,false
    3,0,1,3,82,130,2,5,11,219,true
    3,0,1,3,80,129,3,5,17,1283,true
    1,0,0,2,5,24,0,4,5,219,false
    5,0,0,2,61,99,0,5,9,219,false
    8,0,1,2,66,112,0,4,11,219,false
    1,0,1,4,16,47,0,3,3,219,false
    1,0,1,30,35,89,0,6,12,1283,false
    3,0,1,30,185,255,0,6,18,1283,false
    1,0,1,6,11,39,0,5,9,219,false
    1,0,1,6,69,103,1,5,13,219,false
    1,0,1,10,14,46,0,5,9,219,false
    1,0,1,10,82,121,0,6,16,219,false
    1,0,1,8,13,44,0,4,8,219,false
    1,0,1,8,79,118,1,5,12,219,false
    9,0,1,7,63,103,0,5,13,219,true
    9,0,1,7,56,97,0,4,6,219,true
    1,0,1,5,11,40,0,5,11,219,false
    6,0,1,5,78,111,0,6,19,219,false
    1,0,1,6,13,45,0,4,9,219,false
    3,0,1,6,57,94,0,6,13,219,false
    1,0,1,4,7,36,0,5,10,219,false
    2,0,1,5,67,100,0,6,19,219,false
    1,0,23,15,47,203,0,5,14,219,false
    1,0,1,9,14,46,0,4,8,219,false
    1,0,1,9,86,125,0,7,25,219,false
    4,0,1,43,370,468,0,7,49,2597,false
    1,0,1,6,10,43,0,4,8,219,false
    1,0,1,6,61,95,1,6,10,219,false
    1,0,1,10,36,76,0,4,6,219,false
    1,0,12,6,28,200,0,6,25,592,false
    78,0,2,20,436,622,4,7,64,2597,true
    1,0,6,5,21,117,0,5,16,1464,false
    55,0,1,10,377,487,2,6,39,1464,true
    1,0,1,1,6,30,0,4,9,219,false
    1,0,1,1,5,29,0,4,9,219,false
    3,0,1,3,27,54,0,4,9,219,false
    4,0,1,3,32,60,0,4,9,219,false
    1,0,4,9,22,71,0,6,18,1464,false
    8,0,1,12,127,178,0,6,24,1464,false
    1,0,9,25,46,151,0,6,18,1464,false
    1,0,1,11,16,51,0,4,13,219,false
    5,0,1,11,116,158,1,8,21,219,false
    9,0,1,41,401,488,0,7,56,2597,false
    1,0,4,0,10,60,0,5,15,219,false
    15,0,1,11,121,166,1,7,17,219,true
