    @RELATION Mylyn-3.1-OSA.arff

    @ATTRIBUTE CC NUMERIC
    @ATTRIBUTE CCL NUMERIC
    @ATTRIBUTE CCO NUMERIC
    @ATTRIBUTE CI NUMERIC
    @ATTRIBUTE CLC NUMERIC
    @ATTRIBUTE CLLC NUMERIC
    @ATTRIBUTE LDC NUMERIC
    @ATTRIBUTE LLDC NUMERIC
    @ATTRIBUTE LCOM5 NUMERIC
    @ATTRIBUTE NL NUMERIC
    @ATTRIBUTE NLE NUMERIC
    @ATTRIBUTE WMC NUMERIC
    @ATTRIBUTE CBO NUMERIC
    @ATTRIBUTE CBOI NUMERIC
    @ATTRIBUTE NII NUMERIC
    @ATTRIBUTE NOI NUMERIC
    @ATTRIBUTE RFC NUMERIC
    @ATTRIBUTE AD NUMERIC
    @ATTRIBUTE CD NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE DLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE TCD NUMERIC
    @ATTRIBUTE TCLOC NUMERIC
    @ATTRIBUTE DIT NUMERIC
    @ATTRIBUTE NOA NUMERIC
    @ATTRIBUTE NOC NUMERIC
    @ATTRIBUTE NOD NUMERIC
    @ATTRIBUTE NOP NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE NA NUMERIC
    @ATTRIBUTE NG NUMERIC
    @ATTRIBUTE NLA NUMERIC
    @ATTRIBUTE NLG NUMERIC
    @ATTRIBUTE NLM NUMERIC
    @ATTRIBUTE NLPA NUMERIC
    @ATTRIBUTE NLPM NUMERIC
    @ATTRIBUTE NLS NUMERIC
    @ATTRIBUTE NM NUMERIC
    @ATTRIBUTE NOS NUMERIC
    @ATTRIBUTE NPA NUMERIC
    @ATTRIBUTE NPM NUMERIC
    @ATTRIBUTE NS NUMERIC
    @ATTRIBUTE TLLOC NUMERIC
    @ATTRIBUTE TLOC NUMERIC
    @ATTRIBUTE TNA NUMERIC
    @ATTRIBUTE TNG NUMERIC
    @ATTRIBUTE TNLA NUMERIC
    @ATTRIBUTE TNLG NUMERIC
    @ATTRIBUTE TNLM NUMERIC
    @ATTRIBUTE TNLPA NUMERIC
    @ATTRIBUTE TNLPM NUMERIC
    @ATTRIBUTE TNLS NUMERIC
    @ATTRIBUTE TNM NUMERIC
    @ATTRIBUTE TNOS NUMERIC
    @ATTRIBUTE TNPA NUMERIC
    @ATTRIBUTE TNPM NUMERIC
    @ATTRIBUTE TNS NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    0.636238,1,4,2,0.323077,0.363636,42,40,1,1,1,17,6,1,1,15,23,0.166667,0.0434783,5,5,1,5,0.0434783,5,1,1,0,0,1,110,130,5,1,5,1,8,0,5,1,8,64,0,5,1,110,130,5,1,5,1,8,0,5,1,8,64,0,5,1,false
    0.812844,8,38,9,0.584746,0.823529,138,126,5,5,5,35,0,4,5,0,12,0.416667,0.304545,67,57,5,7,0.304545,67,0,0,0,0,0,153,236,2,1,2,1,12,0,11,0,12,84,0,11,0,153,236,2,1,2,1,12,0,11,0,12,84,0,11,0,false
    0,0,0,0,0,0,0,0,2,1,1,10,2,3,3,3,8,0.25,0.09375,6,3,1,3,0.105882,9,0,0,0,0,0,58,82,2,0,2,0,5,0,3,0,5,35,0,3,0,76,101,2,0,2,0,6,0,4,0,6,47,0,4,0,false
    0,0,0,0,0,0,0,0,2,1,1,6,6,3,3,8,13,0.2,0.190476,8,7,1,4,0.130435,9,1,1,3,4,1,34,43,19,7,2,0,5,0,4,0,35,13,1,20,2,60,70,19,7,2,0,7,0,6,0,45,23,1,30,2,false
    0,0,0,0,0,0,0,0,0,0,0,7,1,21,15,0,7,0.25,0.55,11,11,2,6,0.55,11,0,0,7,7,0,9,22,0,4,0,4,7,0,7,0,7,0,0,7,0,9,22,0,4,0,4,7,0,7,0,7,0,0,7,0,false
    0,0,0,0,0,0,0,0,1,5,5,90,12,23,51,18,48,0.411765,0.216146,83,53,7,10,0.193258,86,0,0,6,15,0,301,429,17,7,17,7,30,1,16,2,30,158,1,16,2,359,499,20,7,20,7,36,1,21,2,44,183,1,29,2,true
    0,0,0,0,0,0,0,0,2,3,1,10,7,13,17,8,13,0.5,0.375,18,17,3,3,0.375,18,0,0,0,0,0,30,49,1,3,1,3,5,1,5,0,5,13,1,5,0,30,49,1,3,1,3,5,1,5,0,5,13,1,5,0,false
    0,0,0,0,0,0,0,0,1,6,5,28,9,19,7,9,17,0.4,0.174757,18,10,2,3,0.174757,18,0,0,2,4,0,85,106,1,1,1,1,8,0,4,1,8,45,0,4,1,85,106,1,1,1,1,8,0,4,1,8,45,0,4,1,false
    0,0,0,0,0,0,0,0,1,1,1,5,5,0,0,5,7,0.5,0.214286,6,6,1,1,0.214286,6,0,0,0,0,0,22,26,1,1,1,1,2,0,1,0,2,10,0,1,0,22,26,1,1,1,1,2,0,1,0,2,10,0,1,0,false
    0,0,0,0,0,0,0,0,1,4,4,17,6,5,6,5,10,0.4,0.205479,15,12,2,3,0.205479,15,1,1,5,5,1,58,73,18,7,1,1,5,0,4,0,34,28,1,19,2,58,73,18,7,1,1,5,0,4,0,34,28,1,19,2,false
    0,0,0,0,0,0,0,0,1,2,2,4,3,2,2,4,6,1,0.2,4,4,1,0,0.2,4,1,1,2,2,1,16,19,1,1,0,0,2,0,0,0,10,6,0,4,1,16,19,1,1,0,0,2,0,0,0,10,6,0,4,1,false
    0.158915,1,1,1,0.16,0.180556,16,13,1,2,2,7,1,3,6,1,3,0.5,0.175439,10,8,1,1,0.181818,16,0,0,3,3,0,47,66,3,0,3,0,2,1,1,0,2,26,1,1,0,72,100,3,0,3,0,7,1,6,0,7,37,1,6,0,true
    0.189208,1,14,2,0.0962963,0.111111,26,26,2,28,3,78,12,1,1,30,42,0.0833333,0.0930233,24,7,1,11,0.0930233,24,1,1,0,0,1,234,270,10,25,9,7,12,1,11,2,45,155,1,44,10,234,270,10,25,9,7,12,1,11,2,45,155,1,44,10,true
    0.0695168,4,32,8,0.0746934,0.0833894,134,124,2,12,10,391,40,14,32,96,135,0.0909091,0.157503,275,29,2,20,0.156073,275,0,0,0,0,0,1471,1772,39,17,39,17,39,1,21,1,39,932,1,21,1,1487,1794,41,19,41,19,43,1,25,2,43,936,1,25,2,true
    0,0,0,0,0,0,0,0,1,1,1,3,7,3,3,6,7,0.5,0.263158,5,4,1,1,0.263158,5,0,0,0,0,0,14,17,1,0,1,0,1,0,1,0,1,7,0,1,0,14,17,1,0,1,0,1,0,1,0,1,7,0,1,0,false
    0,0,0,0,0,0,0,0,2,2,2,12,6,10,19,5,13,0.142857,0.16,8,4,1,6,0.16,8,1,1,0,0,1,42,54,1,1,1,1,8,0,6,0,8,16,0,6,0,42,54,1,1,1,1,8,0,6,0,8,16,0,6,0,true
    0.0241411,1,4,1,0.03125,0.0425532,11,10,1,5,5,73,12,46,25,15,35,0.473684,0.287879,95,41,9,10,0.287879,95,0,0,0,0,0,235,352,11,7,11,7,20,2,18,4,20,127,2,18,4,235,352,11,7,11,7,20,2,18,4,20,127,2,18,4,true
    0,0,0,0,0,0,0,0,2,1,1,11,0,10,5,0,10,0.4,0.272727,18,16,4,6,0.272727,18,0,0,0,0,0,48,78,8,5,8,5,10,1,9,1,10,16,1,9,1,48,78,8,5,8,5,10,1,9,1,10,16,1,9,1,false
    0,0,0,0,0,0,0,0,2,1,1,20,0,4,9,0,10,0.0909091,0.123457,10,4,1,10,0.123457,10,0,0,0,0,0,71,94,9,4,9,4,10,0,10,0,10,30,0,10,0,71,94,9,4,9,4,10,0,10,0,10,30,0,10,0,false
    0,0,0,0,0,0,0,0,1,1,1,19,8,3,3,16,29,0.0714286,0.0927835,9,4,1,13,0.0927835,9,0,0,0,0,0,88,111,6,6,6,6,13,0,13,6,13,46,0,13,6,88,111,6,6,6,6,13,0,13,6,13,46,0,13,6,false
    0.306667,3,18,3,0.259259,0.333333,21,21,2,2,2,15,0,8,8,0,7,0.125,0.222222,18,7,1,7,0.222222,18,0,0,0,0,0,63,81,12,2,12,2,7,10,7,1,7,27,10,7,1,63,81,12,2,12,2,7,10,7,1,7,27,10,7,1,false
    0,0,0,0,0,0,0,0,8,6,6,99,27,16,33,55,82,0.08,0.138462,63,8,2,23,0.137255,63,1,1,0,0,1,392,485,12,21,11,14,27,0,24,0,42,214,0,39,0,396,490,13,21,11,14,28,0,25,0,43,215,1,40,0,false
    0,0,0,0,0,0,0,0,0,3,2,21,2,4,14,0,8,0.222222,0.163043,15,6,2,7,0.163043,15,0,0,0,0,0,77,91,2,2,2,2,8,0,8,1,8,37,0,8,1,77,91,2,2,2,2,8,0,8,1,8,37,0,8,1,false
    0,0,0,0,0,0,0,0,3,1,1,8,11,1,0,7,13,0.166667,0.114754,7,4,1,5,0.114754,7,1,1,0,0,1,54,66,1,1,1,1,6,0,5,0,6,21,0,5,0,54,66,1,1,1,1,6,0,5,0,6,21,0,5,0,false
    0.124169,4,29,5,0.0954064,0.107527,54,50,5,4,4,54,27,12,16,51,65,0.0714286,0.124183,38,7,1,13,0.0988372,51,1,1,0,0,1,268,345,1,4,1,3,14,0,13,0,19,158,0,18,0,465,566,16,16,15,4,33,11,18,0,82,244,12,45,0,true
    0.268734,2,20,4,0.28972,0.317647,31,27,1,2,1,28,0,5,16,0,7,0.166667,0.132653,13,3,1,5,0.132653,13,0,0,0,0,0,85,107,10,1,10,1,7,5,5,0,7,47,5,5,0,85,107,10,1,10,1,7,5,5,0,7,47,5,5,0,true
    0,0,0,0,0,0,0,0,1,1,1,4,1,1,2,0,3,0.75,0.617021,29,26,3,1,0.617021,29,0,0,0,0,0,18,36,1,1,1,1,3,0,3,0,3,7,0,3,0,18,36,1,1,1,1,3,0,3,0,3,7,0,3,0,false
    0,0,0,0,0,0,0,0,1,1,1,4,1,1,3,0,3,0.75,0.617021,29,26,3,1,0.617021,29,0,0,0,0,0,18,35,1,1,1,1,3,0,3,0,3,7,0,3,0,18,35,1,1,1,1,3,0,3,0,3,7,0,3,0,false
    0,0,0,0,0,0,0,0,1,0,0,1,0,6,0,0,1,0,0.00806452,1,0,0,2,0.00806452,1,0,0,0,0,0,123,240,115,0,115,0,1,114,1,0,1,1,114,1,0,123,240,115,0,115,0,1,114,1,0,1,1,114,1,0,false
    0,0,0,0,0,0,0,0,1,3,2,6,11,1,1,8,10,0.333333,0.205882,7,5,1,2,0.205882,7,1,1,0,0,1,27,31,3,0,0,0,2,0,2,0,4,11,1,3,0,27,31,3,0,0,0,2,0,2,0,4,11,1,3,0,false
    0.0617284,1,9,3,0.0534351,0.0647059,35,33,2,7,6,141,13,20,36,58,103,0.295455,0.144902,81,44,13,31,0.141414,84,0,0,0,0,0,478,611,17,22,17,22,45,0,43,3,45,259,0,43,3,510,655,22,25,22,25,52,0,43,3,52,268,0,43,3,true
    0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,3,5,0.333333,0.3125,5,5,1,2,0.222222,6,1,1,0,0,1,11,15,3,1,0,1,2,0,2,0,4,5,1,3,0,21,31,3,1,0,1,5,0,5,0,7,7,1,6,0,false
    0,0,0,0,0,0,0,0,1,0,0,2,4,1,2,4,6,0.666667,0.4,8,8,2,1,0.4,8,1,1,0,0,1,12,19,3,0,0,0,2,0,2,0,4,4,1,3,0,12,19,3,0,0,0,2,0,2,0,4,4,1,3,0,false
    0,0,0,0,0,0,0,0,1,3,3,14,7,1,1,5,11,0.166667,0.0869565,6,5,1,5,0.0869565,6,0,0,0,0,0,63,79,6,2,6,2,6,0,5,0,6,28,0,5,0,63,79,6,2,6,2,6,0,5,0,6,28,0,5,0,false
    0.0887832,2,20,4,0.0852995,0.104308,47,46,1,34,5,148,3,2,2,20,26,0.166667,0.130178,66,11,1,5,0.130178,66,0,0,0,0,0,441,551,83,1,83,1,6,0,5,0,6,278,0,5,0,441,551,83,1,83,1,6,0,5,0,6,278,0,5,0,true
    0.152514,4,44,7,0.128333,0.145669,77,74,1,6,6,140,18,1,1,61,73,0.142857,0.11449,64,7,1,6,0.111888,64,0,0,0,0,0,495,578,17,1,17,1,12,0,6,0,12,301,0,6,0,508,600,25,1,25,1,13,8,7,0,13,302,8,7,0,true
    0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.5,0.333333,3,3,1,1,0.333333,3,0,0,0,0,0,6,8,1,0,1,0,1,0,1,0,1,1,0,1,0,6,8,1,0,1,0,1,0,1,0,1,1,0,1,0,false
    0,0,0,0,0,0,0,0,1,4,4,8,3,2,2,7,8,0.5,0.340426,16,7,1,1,0.340426,16,0,0,0,0,0,31,38,0,0,0,0,1,0,1,0,1,21,0,1,0,31,38,0,0,0,0,1,0,1,0,1,21,0,1,0,false
    0,0,0,0,0,0,0,0,1,0,0,3,1,3,2,5,8,0.25,0.190476,4,3,1,3,0.190476,4,1,1,0,0,1,17,22,12,6,2,1,3,0,3,0,17,5,0,14,5,17,22,12,6,2,1,3,0,3,0,17,5,0,14,5,false
    0,0,0,0,0,0,0,0,3,13,4,42,4,2,1,5,12,0.125,0.215827,30,3,1,7,0.215827,30,1,1,0,0,1,109,139,14,8,4,3,7,0,7,0,21,66,0,18,5,109,139,14,8,4,3,7,0,7,0,21,66,0,18,5,false
    0,0,0,0,0,0,0,0,1,0,0,5,2,1,1,0,4,0.2,0.285714,8,6,1,4,0.285714,8,0,0,0,0,0,20,30,3,2,3,2,4,0,4,0,4,5,0,4,0,20,30,3,2,3,2,4,0,4,0,4,5,0,4,0,false
    0,0,0,0,0,0,0,0,1,6,6,50,6,1,1,17,22,0.666667,0.252688,47,27,2,1,0.252688,47,0,0,0,0,0,139,197,2,1,2,1,5,0,2,0,5,101,0,2,0,139,197,2,1,2,1,5,0,2,0,5,101,0,2,0,false
    0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0.0833333,1,0,0,2,0.0833333,1,0,0,0,0,0,11,16,3,0,3,0,1,2,1,0,1,1,2,1,0,11,16,3,0,3,0,1,2,1,0,1,1,2,1,0,false
    0,0,0,0,0,0,0,0,1,0,0,5,2,3,1,5,9,0.2,0.208333,5,3,1,4,0.208333,5,1,1,0,0,1,19,26,12,7,2,2,4,0,4,0,18,5,0,15,5,19,26,12,7,2,2,4,0,4,0,18,5,0,15,5,false
    0,0,0,0,0,0,0,0,1,0,0,3,2,3,1,5,8,0.25,0.2,4,3,1,3,0.2,4,1,1,0,0,1,16,21,12,6,2,1,3,0,3,0,17,4,0,14,5,16,21,12,6,2,1,3,0,3,0,17,4,0,14,5,false
    0,0,0,0,0,0,0,0,2,1,1,16,5,3,7,0,11,0.0909091,0.0506329,4,3,1,10,0.0506329,4,0,0,0,0,0,75,96,6,6,6,6,11,0,10,0,11,38,0,10,0,75,96,6,6,6,6,11,0,10,0,11,38,0,10,0,false
    0,0,0,0,0,0,0,0,1,1,1,19,6,7,13,8,22,0.0833333,0.125,10,3,1,11,0.125,10,0,0,4,4,0,70,100,10,5,10,5,14,0,11,5,14,25,0,11,5,70,100,10,5,10,5,14,0,11,5,14,25,0,11,5,false
    0.2,1,3,1,0.157895,0.215686,12,11,1,1,1,9,1,1,0,1,5,1,0.328947,25,7,2,0,0.328947,25,0,0,0,0,0,51,76,16,2,16,2,4,14,1,0,4,19,14,1,0,51,76,16,2,16,2,4,14,1,0,4,19,14,1,0,false
    0,0,0,0,0,0,0,0,1,1,1,3,5,1,0,3,5,0.333333,0.166667,4,3,1,2,0.166667,4,1,1,0,0,1,20,23,0,1,0,1,2,0,2,0,2,6,0,2,0,20,23,0,1,0,1,2,0,2,0,2,6,0,2,0,false
    0.287179,3,12,3,0.212121,0.25,14,12,1,4,4,10,4,1,1,4,6,0.5,0.272727,18,3,1,1,0.272727,18,0,0,0,0,0,48,66,12,0,12,0,2,11,1,0,2,21,11,1,0,48,66,12,0,12,0,2,11,1,0,2,21,11,1,0,false
    0,0,0,0,0,0,0,0,3,5,5,35,9,6,4,16,26,0.5,0.306122,60,30,5,5,0.306122,60,0,0,0,0,0,136,209,20,6,20,6,10,18,9,0,10,65,18,9,0,136,209,20,6,20,6,10,18,9,0,10,65,18,9,0,false
    0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0.5,0.444444,4,3,1,1,0.444444,4,1,1,0,0,1,5,8,2,0,0,0,1,0,1,0,5,1,0,5,0,5,8,2,0,0,0,1,0,1,0,5,1,0,5,0,false
    0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0.5,0.375,3,3,1,1,0.375,3,1,1,0,0,1,5,7,2,0,0,0,1,0,1,0,5,1,0,5,0,5,7,2,0,0,0,1,0,1,0,5,1,0,5,0,false
    0,0,0,0,0,0,0,0,2,2,2,15,4,2,2,4,8,0.2,0.0983607,6,3,1,4,0.0789474,6,0,0,2,2,0,55,62,2,0,2,0,4,0,4,0,4,32,0,4,0,70,78,2,0,2,0,6,0,6,0,6,38,0,6,0,false
    0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0.0625,1,0,0,2,0.0625,1,0,0,0,0,0,15,25,7,0,7,0,1,6,1,0,1,1,6,1,0,15,25,7,0,7,0,1,6,1,0,1,1,6,1,0,false
    0.21286,1,4,2,0.185841,0.203883,21,21,1,6,5,15,12,5,3,13,16,0.333333,0.134146,11,3,1,2,0.0964912,11,0,0,0,0,0,71,80,4,1,4,1,3,0,2,0,3,39,0,2,0,103,113,4,1,4,1,6,0,5,0,6,55,0,5,0,false
    0.746377,2,9,2,0.650794,0.705882,41,36,1,2,2,7,9,2,1,12,14,0.333333,0.0769231,3,3,1,2,0.0555556,3,1,1,0,0,1,36,47,9,7,2,0,2,0,2,0,24,21,0,19,4,51,63,9,7,2,0,3,0,3,0,25,29,0,20,4,false
    0,0,0,0,0,0,0,0,1,1,1,5,7,2,1,6,9,0.333333,0.0909091,3,3,1,2,0.0655738,4,1,1,0,0,1,30,37,8,7,1,0,3,0,2,0,25,17,0,19,4,57,74,8,7,1,0,5,0,4,0,27,33,0,21,4,false
    0.211896,1,5,1,0.117318,0.2125,21,17,1,2,2,16,10,1,1,23,27,0.333333,0.52381,88,7,1,2,0.52381,88,1,1,0,0,1,80,179,7,7,1,0,4,0,2,0,23,50,0,13,6,80,179,7,7,1,0,4,0,2,0,23,50,0,13,6,false
    0,0,0,0,0,0,0,0,1,3,3,16,10,1,1,22,25,0.333333,0.0677966,8,3,1,2,0.0677966,8,1,1,0,0,1,110,132,8,7,2,0,3,0,2,0,22,79,0,13,6,110,132,8,7,2,0,3,0,2,0,22,79,0,13,6,false
    0.172164,1,8,2,0.123377,0.142857,38,36,4,3,3,32,20,6,5,29,39,0.5,0.168919,25,16,2,2,0.121951,35,2,2,1,1,1,123,167,44,15,4,1,10,2,3,0,75,61,18,47,6,252,308,53,24,4,3,16,2,9,0,106,135,21,78,9,true
    0,0,0,0,0,0,0,0,2,1,1,9,10,1,1,5,11,0.142857,0.108108,4,3,1,6,0.108108,4,1,1,1,1,1,33,40,5,7,0,4,6,0,6,0,10,10,4,10,1,33,40,5,7,0,4,6,0,6,0,10,10,4,10,1,false
    0,0,0,0,0,0,0,0,2,0,0,7,5,1,1,9,16,0.142857,0.116667,7,5,1,6,0.1,7,1,1,0,0,1,53,73,12,9,5,2,7,0,6,1,29,23,0,23,5,63,83,12,9,5,2,9,0,8,1,31,25,0,25,5,false
    0.0690691,1,4,1,0.0816327,0.09375,12,12,1,3,3,26,8,3,3,20,28,0.125,0.139535,18,3,1,7,0.129252,19,1,1,0,0,1,111,128,10,10,3,3,8,0,7,2,30,68,0,24,6,128,147,10,10,3,3,11,0,10,2,33,76,0,27,6,false
