@RELATION PROMISE-unified-class.arff

    @ATTRIBUTE CC NUMERIC
    @ATTRIBUTE CCL NUMERIC
    @ATTRIBUTE CCO NUMERIC
    @ATTRIBUTE CI NUMERIC
    @ATTRIBUTE CLC NUMERIC
    @ATTRIBUTE CLLC NUMERIC
    @ATTRIBUTE LDC NUMERIC
    @ATTRIBUTE LLDC NUMERIC
    @ATTRIBUTE LCOM5 NUMERIC
    @ATTRIBUTE NL NUMERIC
    @ATTRIBUTE NLE NUMERIC
    @ATTRIBUTE WMC NUMERIC
    @ATTRIBUTE CBO NUMERIC
    @ATTRIBUTE CBOI NUMERIC
    @ATTRIBUTE NII NUMERIC
    @ATTRIBUTE NOI NUMERIC
    @ATTRIBUTE RFC NUMERIC
    @ATTRIBUTE AD NUMERIC
    @ATTRIBUTE CD NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE DLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE TCD NUMERIC
    @ATTRIBUTE TCLOC NUMERIC
    @ATTRIBUTE DIT NUMERIC
    @ATTRIBUTE NOA NUMERIC
    @ATTRIBUTE NOC NUMERIC
    @ATTRIBUTE NOD NUMERIC
    @ATTRIBUTE NOP NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE NA NUMERIC
    @ATTRIBUTE NG NUMERIC
    @ATTRIBUTE NLA NUMERIC
    @ATTRIBUTE NLG NUMERIC
    @ATTRIBUTE NLM NUMERIC
    @ATTRIBUTE NLPA NUMERIC
    @ATTRIBUTE NLPM NUMERIC
    @ATTRIBUTE NLS NUMERIC
    @ATTRIBUTE NM NUMERIC
    @ATTRIBUTE NOS NUMERIC
    @ATTRIBUTE NPA NUMERIC
    @ATTRIBUTE NPM NUMERIC
    @ATTRIBUTE NS NUMERIC
    @ATTRIBUTE TLLOC NUMERIC
    @ATTRIBUTE TLOC NUMERIC
    @ATTRIBUTE TNA NUMERIC
    @ATTRIBUTE TNG NUMERIC
    @ATTRIBUTE TNLA NUMERIC
    @ATTRIBUTE TNLG NUMERIC
    @ATTRIBUTE TNLM NUMERIC
    @ATTRIBUTE TNLPA NUMERIC
    @ATTRIBUTE TNLPM NUMERIC
    @ATTRIBUTE TNLS NUMERIC
    @ATTRIBUTE TNM NUMERIC
    @ATTRIBUTE TNOS NUMERIC
    @ATTRIBUTE TNPA NUMERIC
    @ATTRIBUTE TNPM NUMERIC
    @ATTRIBUTE TNS NUMERIC
    @ATTRIBUTE wmc NUMERIC
    @ATTRIBUTE dit NUMERIC
    @ATTRIBUTE noc NUMERIC
    @ATTRIBUTE cbo NUMERIC
    @ATTRIBUTE rfc NUMERIC
    @ATTRIBUTE lcom NUMERIC
    @ATTRIBUTE ca NUMERIC
    @ATTRIBUTE ce NUMERIC
    @ATTRIBUTE npm NUMERIC
    @ATTRIBUTE lcom3 NUMERIC
    @ATTRIBUTE loc NUMERIC
    @ATTRIBUTE dam NUMERIC
    @ATTRIBUTE moa NUMERIC
    @ATTRIBUTE mfa NUMERIC
    @ATTRIBUTE cam NUMERIC
    @ATTRIBUTE ic NUMERIC
    @ATTRIBUTE cbm NUMERIC
    @ATTRIBUTE amc NUMERIC
    @ATTRIBUTE max_cc NUMERIC
    @ATTRIBUTE avg_cc NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    0.118207,2,16,5,0.110865,0.146417,50,47,1,14,3,71,8,5,11,4,16,1,0.251634,77,63,10,0,0.193467,77,0,0,0,0,0,229,343,7,6,7,6,12,0,9,1,12,116,0,9,1,321,451,7,6,7,6,30,0,27,1,30,142,0,27,1,14,1,0,24,63,63,20,20,9,0.841346154,822,0.4375,0,0,0.333333333,0,0,56.57142857,24,2.7857,true
    0,0,0,0,0,0,0,0,1,2,2,6,0,9,4,0,4,1,0.369565,17,17,4,0,0.369565,17,0,0,0,0,0,29,52,4,0,4,0,4,1,3,0,4,13,1,3,0,29,52,4,0,4,0,4,1,3,0,4,13,1,3,0,5,1,0,51,10,8,51,0,3,0.3125,69,0.75,1,0,0.583333333,0,0,12,3,0.6,false
    0.0150418,1,3,1,0.0204461,0.0302198,11,11,1,15,3,82,7,0,0,18,31,1,0.251029,122,84,2,0,0.251029,122,0,0,0,0,0,364,538,12,1,12,1,13,1,1,0,13,254,1,1,0,364,538,12,1,12,1,13,1,1,0,13,254,1,1,0,14,1,0,7,82,65,0,7,1,0.816568047,1253,0.846153846,0,0,0.169642857,0,0,87.57142857,4,2.1429,true
    0,0,0,0,0,0,0,0,1,1,1,7,3,0,0,5,8,0.25,0.192308,5,5,1,3,0.192308,5,3,3,0,0,1,21,28,8,0,1,0,3,0,3,0,15,8,0,14,4,21,28,8,0,1,0,3,0,3,0,15,8,0,14,4,4,2,0,3,16,0,0,3,4,0.333333333,59,1,0,0.842105263,0.875,1,1,13.5,5,1.75,false
    0,0,0,0,0,0,0,0,1,2,2,11,0,2,2,0,3,0.25,0.403226,25,20,1,3,0.403226,25,0,0,0,0,0,37,60,3,0,3,0,3,0,3,0,3,16,0,3,0,37,60,3,0,3,0,3,0,3,0,3,16,0,3,0,3,1,0,2,15,0,2,0,3,0.166666667,100,1,0,0,0.666666667,0,0,31.33333333,2,1,false
    0.0639269,1,12,2,0.0523763,0.0647887,54,46,4,4,4,164,7,180,208,26,95,0.375,0.213732,193,159,21,35,0.213732,193,0,0,0,0,0,710,1031,27,14,27,14,69,11,55,9,69,406,11,55,9,710,1031,27,14,27,14,69,11,55,9,69,406,11,55,9,71,1,0,103,186,2247,99,7,55,0.97244898,2193,0.571428571,0,0,0.127731092,0,0,29.49295775,18,1.5775,true
    0.0382641,1,6,2,0.0335366,0.0463158,22,22,3,4,3,37,6,16,16,14,23,0.833333,0.209424,40,30,5,1,0.156306,88,0,0,0,0,0,151,249,6,1,6,1,9,0,5,0,9,85,0,5,0,475,656,16,1,16,1,40,0,30,1,65,267,0,50,1,17,1,0,19,73,112,13,7,5,0.84375,502,1,1,0,0.170454545,0,0,28.17647059,2,1,true
    0,0,0,0,0,0,0,0,1,1,1,12,3,4,8,2,11,1,0.407895,31,31,8,0,0.407895,31,0,0,0,0,0,45,80,4,2,4,2,9,0,7,2,9,18,0,7,2,45,80,4,2,4,2,9,0,7,2,9,18,0,7,2,9,1,0,8,25,10,5,3,7,0.6875,114,1,0,0,0.25,0,0,11.22222222,1,0.8889,true
    0,0,0,0,0,0,0,0,3,5,5,32,5,14,18,9,27,0.125,0.0884956,10,10,2,14,0.0884956,10,0,0,0,0,0,103,128,7,5,7,5,18,0,15,6,18,42,0,15,6,103,128,7,5,7,5,18,0,15,6,18,42,0,15,6,19,1,0,18,47,97,16,5,16,0.833333333,273,1,1,0,0.305263158,0,0,13,3,1.4211,true
    0,0,0,0,0,0,0,0,3,1,1,20,5,132,183,3,21,0.9375,0.561644,82,82,15,1,0.561644,82,0,0,55,99,0,64,161,7,6,7,6,18,0,15,7,18,19,0,15,7,64,161,7,6,7,6,18,0,15,7,18,19,0,15,7,19,1,34,78,23,119,75,5,16,0.873015873,125,1,4,0,0.218045113,0,0,5.210526316,2,1,false
    0,0,0,0,0,0,0,0,1,2,2,5,3,4,5,3,6,0.75,0.324324,12,12,3,1,0.324324,12,1,1,0,0,1,25,37,8,7,1,1,3,0,3,1,21,13,0,18,8,25,37,8,7,1,1,3,0,3,1,21,13,0,18,8,4,3,0,6,15,0,4,2,4,0.333333333,82,0,0,0.925,0.625,1,1,19.25,1,0.75,false
    0,0,0,0,0,0,0,0,1,1,1,11,7,3,2,17,23,0.5,0.205128,16,12,3,3,0.205128,16,1,1,0,0,1,62,86,10,7,3,1,6,0,5,0,24,33,0,20,7,62,86,10,7,3,1,6,0,5,0,24,33,0,20,7,6,3,0,10,33,0,3,8,5,0.466666667,198,1,1,0.880952381,0.333333333,2,4,31.5,2,1,true
    0,0,0,0,0,0,0,0,1,2,2,24,9,0,0,13,22,0.222222,0.0714286,10,10,2,7,0.0714286,10,1,1,0,0,1,130,164,21,1,21,1,9,0,8,0,9,73,0,8,0,130,164,21,1,21,1,9,0,8,0,9,73,0,8,0,10,1,0,9,49,1,0,9,8,0.920634921,382,1,0,0,0.833333333,0,0,35.1,4,1.9,false
    0,0,0,0,0,0,0,0,1,3,3,30,8,2,3,35,44,0.25,0.163522,26,22,2,6,0.163522,26,1,1,0,0,1,133,167,13,6,6,0,9,0,7,4,27,87,0,22,11,133,167,13,6,6,0,9,0,7,4,27,87,0,22,11,10,3,0,9,70,1,1,8,8,0.703703704,440,0.666666667,1,0.804347826,0.466666667,1,1,42.4,6,1.9,false
    0,0,0,0,0,0,0,0,1,8,6,39,7,0,0,10,16,0.666667,0.0725389,14,8,2,1,0.0725389,14,1,1,0,0,1,179,221,10,6,3,0,6,0,2,1,24,134,0,17,8,179,221,11,6,4,0,6,1,2,1,24,134,1,17,8,8,3,0,6,55,24,0,6,3,0.80952381,643,0.5,0,0.840909091,0.303571429,0,0,78.625,3,1.25,false
    0,0,0,0,0,0,0,0,1,3,3,32,6,0,0,9,21,0.1,0.0648148,7,5,1,9,0.0648148,7,1,1,0,0,1,101,122,14,6,7,0,12,0,9,7,30,46,0,24,14,101,122,14,6,7,0,12,0,9,7,30,46,0,24,14,13,3,0,7,35,52,0,7,10,0.869047619,273,1,2,0.755102041,0.353846154,1,1,19.46153846,6,1.6923,false
    0,0,0,0,0,0,0,0,1,1,1,5,5,0,0,14,18,0.2,0.44898,22,22,1,4,0.44898,22,1,1,0,0,1,27,33,9,6,2,0,4,0,4,1,22,13,0,19,8,27,33,9,6,2,0,4,0,4,1,22,13,0,19,8,5,3,0,7,20,2,0,7,5,0.625,76,1,1,0.902439024,0.6,2,2,13.8,2,1,false
    0,0,0,0,0,0,0,0,3,1,1,19,8,0,0,18,32,0.538462,0.371134,36,35,7,6,0.371134,36,3,3,0,0,1,61,106,22,10,2,0,14,0,12,8,60,23,0,42,25,61,106,22,10,2,0,14,0,12,8,60,23,0,42,25,14,5,0,10,43,15,0,10,12,0.615384615,168,1,1,0.891666667,0.392857143,3,5,10.85714286,5,1.3571,false
    0,0,0,0,0,0,0,0,2,1,1,5,6,0,0,6,9,1,0.446809,21,18,4,0,0.446809,21,3,3,0,0,1,26,46,27,23,1,0,3,0,3,0,73,17,0,67,30,26,46,27,23,1,0,3,0,3,0,73,17,0,67,30,4,5,0,5,21,0,0,5,4,0.333333333,87,1,0,0.98089172,1,1,1,20.5,3,1.25,false
    0.0696279,1,4,1,0.040678,0.0634921,12,12,1,4,4,55,10,2,1,16,32,1,0.294776,79,69,13,0,0.294776,79,1,1,1,1,1,189,295,20,6,13,0,16,0,12,9,34,100,0,27,16,189,295,20,6,13,0,16,0,12,9,34,100,0,27,16,17,3,1,12,64,52,1,11,13,0.793269231,642,1,1,0.698113208,0.242647059,1,1,36,11,2,false
    0.179012,1,5,1,0.206522,0.192308,19,15,1,3,3,19,5,0,0,6,13,0.142857,0.0823529,7,7,1,6,0.0823529,7,2,2,0,0,1,78,92,15,7,6,0,7,0,6,5,36,38,0,31,17,78,92,15,7,6,0,7,0,6,5,36,38,0,31,17,8,4,0,6,35,4,0,6,7,0.714285714,265,1,0,0.917647059,0.46875,3,3,31.375,5,1.375,false
    0.376623,1,5,1,0.333333,0.325581,18,14,1,2,2,12,3,0,0,5,10,0.166667,0.14,7,7,1,5,0.14,7,1,1,0,0,1,43,54,11,6,4,0,5,0,5,4,23,18,0,20,11,43,54,11,6,4,0,5,0,5,4,23,18,0,20,11,6,3,0,4,21,1,0,4,6,0.7,136,1,0,0.880952381,0.416666667,2,2,21,1,0.8333,false
    0.326489,4,20,5,0.229508,0.344262,42,42,1,3,3,33,10,0,0,17,28,0.0833333,0.232704,37,31,1,11,0.232704,37,1,1,0,0,1,122,183,16,6,9,0,11,0,11,10,29,61,0,26,17,122,183,16,6,9,0,11,0,11,10,29,61,0,26,17,12,3,0,12,37,32,0,12,12,0.858585859,310,1,1,0.770833333,0.458333333,0,0,24.08333333,3,1.4167,false
    0,0,0,0,0,0,0,0,1,4,4,55,8,0,0,16,33,1,0.395349,102,91,16,0,0.395349,102,2,2,0,0,1,156,269,16,7,7,0,17,0,15,10,46,92,0,40,22,156,269,16,7,7,0,17,0,15,10,46,92,0,40,22,18,4,0,8,49,19,0,8,16,0.773109244,579,1,0,0.821052632,0.296296296,2,3,30.77777778,14,2.1111,false
    0,0,0,0,0,0,0,0,1,3,3,12,2,0,0,3,6,0.333333,0.258065,16,7,1,2,0.258065,16,1,1,0,0,1,46,65,8,6,1,0,3,0,2,1,21,26,0,17,8,46,65,8,6,1,0,3,0,2,1,21,26,0,17,8,4,3,0,3,17,4,0,3,3,0.666666667,152,1,0,0.925,0.75,1,1,36.75,1,0.75,false
    0,0,0,0,0,0,0,0,1,4,4,14,6,0,0,5,11,1,0.428571,39,37,7,0,0.40625,39,1,1,0,0,1,52,93,11,6,4,0,6,0,6,4,24,24,0,21,11,57,98,12,8,4,1,7,0,7,4,29,25,0,26,12,7,3,0,7,22,0,0,7,7,0.625,147,1,0,0.860465116,0.342857143,1,1,19.42857143,5,1.4286,false
    0,0,0,0,0,0,0,0,1,4,4,24,4,1,1,7,16,0.142857,0.17094,20,9,1,6,0.141935,22,1,1,0,0,1,97,135,14,6,7,0,9,0,6,5,27,55,0,21,12,133,175,19,6,12,0,12,0,9,5,30,70,0,24,12,10,3,0,5,41,21,1,5,7,0.793650794,360,1,0,0.804347826,0.45,0,0,34.3,2,1.1,false
    0,0,0,0,0,0,0,0,1,3,3,38,12,7,9,22,40,1,0.346734,69,63,12,0,0.346734,69,1,1,1,3,1,130,211,16,6,9,0,18,0,11,8,36,65,0,26,15,130,211,16,6,9,0,18,0,11,8,36,65,0,26,15,19,3,1,18,56,97,5,13,12,0.814814815,406,1,2,0.672727273,0.190789474,0,0,19.89473684,3,1.0526,false
    0,0,0,0,0,0,0,0,2,4,3,49,14,19,21,21,40,0.933333,0.369775,115,91,14,1,0.362132,197,0,0,0,0,0,196,375,12,5,12,5,19,1,14,6,19,110,1,14,6,347,591,15,5,15,5,32,1,23,6,50,174,1,38,6,21,1,0,25,77,162,10,16,14,0.7375,566,0.916666667,4,0,0.135,0,0,25.38095238,7,1.8095,true
    0,0,0,0,0,0,0,0,1,2,2,15,7,1,1,9,14,0.333333,0.146667,11,9,2,4,0.146667,11,0,0,0,0,0,64,80,4,0,4,0,5,0,5,4,5,35,0,5,4,64,80,4,0,4,0,5,0,5,4,5,35,0,5,4,6,1,0,7,26,0,1,6,6,0.65,185,1,3,0,0.305555556,0,0,29.16666667,1,0.8333,false
    0.198502,1,6,2,0.134078,0.20339,24,24,1,6,6,26,11,2,5,16,26,1,0.261438,40,39,5,0,0.271605,44,2,2,2,2,1,113,174,20,10,4,4,10,0,4,2,46,71,0,30,17,118,179,21,12,4,5,11,0,5,2,51,72,0,35,18,11,4,2,14,42,29,2,12,5,0.725,395,1,1,0.885057471,0.232323232,3,4,34.54545455,3,1.2727,false
    0,0,0,0,0,0,0,0,0,0,0,5,0,9,2,0,5,1,0.8,28,28,6,0,0.8,28,0,0,3,11,0,7,34,0,0,0,0,5,0,5,3,5,0,0,5,3,7,34,0,0,0,0,5,0,5,3,5,0,0,5,3,5,1,0,10,5,10,10,0,5,2,5,0,0,0,0.533333333,0,0,0,1,1,false
    0,0,0,0,0,0,0,0,1,3,3,18,1,4,8,1,9,1,0.485507,67,58,8,0,0.485507,67,0,0,0,0,0,71,136,5,0,5,0,8,0,7,0,8,35,0,7,0,71,136,5,0,5,0,8,0,7,0,8,35,0,7,0,8,1,0,6,25,0,5,1,7,0.6,169,1,0,0,0.416666667,0,0,19.5,7,1.875,false
    0,0,0,0,0,0,0,0,1,1,1,4,2,0,0,1,3,0.333333,0.315789,6,6,1,2,0.315789,6,1,1,0,0,1,13,15,8,6,1,0,2,0,2,1,20,4,0,17,8,13,15,8,6,1,0,2,0,2,1,20,4,0,17,8,3,3,0,2,6,1,0,2,3,0.5,29,1,0,0.948717949,0.666666667,0,0,8.333333333,1,0.6667,false
    0.212534,1,3,1,0.153846,0.175,18,14,1,5,5,17,6,0,0,17,21,1,0.259259,28,23,4,0,0.259259,28,2,2,0,0,1,80,117,11,7,2,0,4,0,3,2,33,50,0,28,14,80,117,11,7,2,0,4,0,3,2,33,50,0,28,14,5,4,0,8,45,6,0,8,4,0.75,261,1,0,0.951219512,0.6,4,5,50.8,7,2,false
    0,0,0,0,0,0,0,0,1,3,3,17,3,0,0,5,10,0.2,0.135593,8,8,1,4,0.135593,8,1,1,0,0,1,51,62,10,6,3,0,5,0,4,3,23,27,0,19,10,51,62,10,6,3,0,5,0,4,3,23,27,0,19,10,6,3,0,4,24,5,0,4,5,0.733333333,153,1,0,0.880952381,0.5,0,0,24,1,0.8333,false
    0.127729,1,9,3,0.113402,0.165746,33,30,1,5,5,63,7,0,0,7,15,1,0.395189,115,79,9,0,0.394649,118,2,2,0,0,1,176,286,15,7,6,0,8,0,8,6,37,132,0,33,18,181,291,16,9,6,1,9,0,9,6,42,133,0,38,19,8,4,0,7,34,6,0,7,8,0.761904762,626,1,0,0.917647059,0.4375,2,2,76.5,3,1.625,true
    0.123239,2,10,2,0.162162,0.1875,12,12,1,4,4,17,3,0,0,4,7,0.25,0.0985916,7,7,1,3,0.0985916,7,1,1,0,0,1,64,74,9,6,2,0,3,0,3,2,21,36,0,18,9,64,74,9,6,2,0,3,0,3,2,21,36,0,18,9,4,3,0,4,32,2,0,4,4,0.666666667,215,1,0,0.925,0.75,1,1,52.25,1,0.75,false
    0.184615,1,4,1,0.173913,0.189655,12,11,1,3,3,12,3,0,0,5,10,0.25,0.121212,8,7,1,3,0.121212,8,1,1,0,0,1,58,69,9,6,2,0,5,0,3,2,23,27,0,18,9,58,69,9,6,2,0,5,0,3,2,23,27,0,18,9,6,3,0,4,25,11,0,4,4,0.8,157,1,0,0.880952381,0.4,2,2,24.83333333,1,0.8333,false
    0.192118,2,15,5,0.135036,0.150943,37,32,1,1,1,34,6,0,0,10,23,0.0714286,0.0674847,11,11,1,13,0.0493274,11,1,1,0,0,1,152,195,19,6,12,0,13,0,13,11,31,85,0,28,18,212,274,24,9,17,3,21,0,21,13,39,119,0,36,20,14,3,0,6,33,65,0,6,14,0.91025641,404,1,1,0.74,0.595238095,2,3,27,2,1,false
    0,0,0,0,0,0,0,0,1,3,3,35,4,0,0,13,20,1,0.382653,75,58,7,0,0.382653,75,1,1,0,0,1,121,214,12,6,5,0,7,0,6,5,25,78,0,21,12,121,214,12,6,5,0,7,0,6,5,25,78,0,21,12,8,3,0,6,46,10,0,6,7,0.771428571,394,1,0,0.840909091,0.375,1,1,47.625,2,1,false
    0.561086,2,5,2,0.418919,0.462963,31,25,1,2,2,13,6,1,4,12,18,0.25,0.217391,15,9,1,3,0.217391,15,3,3,1,1,1,54,74,19,7,2,0,6,0,3,2,55,28,0,35,18,54,74,19,7,2,0,6,0,3,2,55,28,0,35,18,6,5,1,6,33,7,1,5,3,0.7,164,1,0,0.961538462,0.5,3,6,26,2,1,false
    0,0,0,0,0,0,0,0,1,3,3,39,14,8,15,40,61,1,0.330396,75,75,19,0,0.330396,75,1,1,2,2,1,152,251,12,6,5,0,21,0,18,11,39,75,0,33,18,152,251,12,6,5,0,21,0,18,11,39,75,0,33,18,22,3,0,17,77,95,0,17,19,0.742857143,439,1,1,0.637931034,0.172727273,1,1,18.72727273,2,1,false
    0,0,0,0,0,0,0,0,1,3,3,64,11,3,2,20,61,1,0.403141,154,148,40,0,0.403141,154,2,2,1,1,1,228,409,26,23,17,16,41,0,39,18,70,95,0,64,30,228,409,26,23,17,16,41,0,39,18,70,95,0,64,30,42,4,1,19,74,741,7,13,40,0.948350072,550,1,4,0.655462185,0.210884354,3,3,11.69047619,2,1.2143,false
    0.383838,1,3,1,0.196429,0.333333,11,10,1,2,2,8,1,0,0,1,5,1,0.454545,25,24,2,0,0.454545,25,0,0,0,0,0,30,56,3,1,3,1,4,0,1,0,4,13,0,1,0,30,56,3,1,3,1,4,0,1,0,4,13,0,1,0,4,2,0,1,11,0,0,1,1,0.222222222,68,1,1,0.625,0.5,1,1,15.25,2,1,false
    0,0,0,0,0,0,0,0,1,5,5,146,18,0,0,59,122,0.101695,0.12069,70,54,6,53,0.10957,79,1,1,0,0,1,510,627,27,6,20,0,63,0,58,51,81,280,0,73,58,642,796,42,16,31,9,91,0,83,61,116,325,0,102,68,65,3,0,21,155,1670,6,21,59,0.9171875,1504,1,5,0.37,0.244140625,3,3,21.83076923,10,1.5231,false
